mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/2	1	1		.C.I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	4/2	1	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	0	0	4/2	1	1		IV	ii6	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	1	1	4/2	1	1		viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	3	0	0	4/2	1	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	4/2	1	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	1	1	4/2	1	1		iii		C	I		iii	iii							m	0	0	4, 1, 5		4	4
4	4	0	0	4/2	1	1		IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	4	1/2	1/2	4/2	1	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	0	0	4/2	1	1		I(4)}{		C	I		I(4)	I			4			}{	M	0	0	0, -1, 1		0	0
5	5	1/2	1/2	4/2	1	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1	1	4/2	1	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	0	0	4/2	1	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	1	1	4/2	1	1		.bVII6		C	I		bVII6	bVII		6					M	0	0	2, -1, -2		-2	2
6	6	3/2	3/2	4/2	1	1		ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	0	0	4/2	1	1		vi6		C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
7	7	1/4	1/4	4/2	1	1		IV64		C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
7	7	1/2	1/2	4/2	1	1		I(4)		C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
7	7	3/4	3/4	4/2	1	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
7	7	1	1	4/2	1	1		ii6(2)		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
7	7	5/4	5/4	4/2	1	1		ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	3/2	3/2	4/2	1	1		vi(4)		C	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
7	7	7/4	7/4	4/2	1	1		vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
8	8	0	0	4/2	1	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	3/4	3/4	4/2	1	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	1	1	4/2	1	1		V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
8	8	3/2	3/2	4/2	1	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
9	9	0	0	4/2	1	1		V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	9	1	1	4/2	1	1		IV/V		C	I		IV/V	IV				V			M	0	0	0, 4, 1		0	0
10	10	0	0	4/2	1	1		viio6(2)/V		C	I		viio6(2)/V	vii	o	6	2	V			o	0	0	3, 0, 1		6	3
