mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	4.0	0	0	4/2	2	1	1	1	1		3	57	A3	3	0
1	1	1	1.0	1/4	1/4	4/2	2	2	1/4	1/4	1		2	50	D3	3	2
1	1	2	3.0	1/2	1/2	4/2	2	2	3/4	1/2	3/2		-1	53	F3	3	3
1	1	4	4.0	1	1	4/2	2	1	1	1	1		1	55	G3	3	1
1	1	5	0.5	5/4	5/4	4/2	2	2	1/8	1/8	1		4	52	E3	3	4
1	1	11/2	0.5	11/8	11/8	4/2	2	2	1/8	1/8	1		2	50	D3	3	5
1	1	6	1.0	3/2	3/2	4/2	2	2	1/4	1/4	1		4	52	E3	3	6
1	1	7	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		0	48	C3	3	7
2	2	8	2.0	0	0	4/2	2	2	1/2	1/2	1		-1	53	F3	3	12
2	2	8	4.0	0	0	4/2	2	1	1	1	1		2	62	D4	4	10
2	2	10	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		1	55	G3	3	13
2	2	12	3.0	1	1	4/2	2	2	3/4	1/2	3/2		3	57	A3	3	14
2	2	12	4.0	1	1	4/2	2	1	1	1	1		0	60	C4	4	11
2	2	13	1.0	5/4	5/4	4/2	1	1	1/4	1/4	1		3	69	A4	4	8
2	2	14	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1	1	0	72	C5	5	9
2	2	15	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	15
3	3	16	2.0	0	0	4/2	2	2	1/2	1/2	1		6	54	F#3	3	26
3	3	16	4.0	0	0	4/2	2	1	1	1	1		2	62	D4	4	24
3	3	16	1.0	0	0	4/2	1	1	1/4	1/4	1	-1	0	72	C5	5	16
3	3	17	0.5	1/4	1/4	4/2	1	1	1/8	1/8	1		5	71	B4	4	17
3	3	35/2	0.5	3/8	3/8	4/2	1	1	1/8	1/8	1		3	69	A4	4	18
3	3	18	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		1	55	G3	3	27
3	3	18	1.0	1/2	1/2	4/2	1	1	1/4	1/4	1		5	71	B4	4	19
3	3	19	1.0	3/4	3/4	4/2	1	1	1/4	1/4	1		1	67	G4	4	20
3	3	20	1.0	1	1	4/2	2	2	1/4	1/4	1		3	57	A3	3	28
3	3	20	4.0	1	1	4/2	2	1	1	1	1		0	60	C4	4	25
3	3	20	1.0	1	1	4/2	1	1	1/4	1/4	1		0	72	C5	5	21
3	3	21	1.0	5/4	5/4	4/2	2	2	1/4	1/4	1		1	55	G3	3	29
3	3	21	1.0	5/4	5/4	4/2	1	1	1/4	1/4	1		4	64	E4	4	22
3	3	22	1.0	3/2	3/2	4/2	2	2	1/4	1/4	1		-1	53	F3	3	30
3	3	22	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1	1	3	69	A4	4	23
3	3	23	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	31
4	4	24	2.0	0	0	4/2	2	2	1/2	1/2	1		2	50	D3	3	42
4	4	24	4.0	0	0	4/2	2	1	1	1	1		-2	58	Bb3	3	40
4	4	24	1.0	0	0	4/2	1	1	1/4	1/4	1	-1	3	69	A4	4	32
4	4	25	0.5	1/4	1/4	4/2	1	1	1/8	1/8	1		1	67	G4	4	33
4	4	51/2	0.5	3/8	3/8	4/2	1	1	1/8	1/8	1		-1	65	F4	4	34
4	4	26	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		4	52	E3	3	43
4	4	26	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		1	67	G4	4	35
4	4	28	4.0	1	1	4/2	2	2	1	1	1		-1	53	F3	3	44
4	4	28	4.0	1	1	4/2	2	1	1	1	1		3	57	A3	3	41
4	4	28	3.0	1	1	4/2	1	1	3/4	1/2	3/2		3	69	A4	4	36
4	4	29	1.0	5/4	5/4	4/2	1	2	1/4	1/4	1		2	62	D4	4	38
4	4	30	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1	1	-1	65	F4	4	39
4	4	31	1.0	7/4	7/4	4/2	1	1	1/4	1/4	1		5	71	B4	4	37
5	5	32	4.0	0	0	4/2	2	2	1	1	1		0	48	C3	3	58
5	5	32	4.0	0	0	4/2	2	1	1	1	1		1	55	G3	3	56
