mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅝=45	180.0	𝅝	45.0	0.0
1	1	0	0	4.0	0	0	Chord	4/2	2	1	1	1	1	0					
1	1	4	4	4.0	1	1	Chord	4/2	2	1	1	1	1	1					
1	1	1	1	1.0	1/4	1/4	Chord	4/2	2	2	1/4	1/4	1	2					
1	1	2	2	3.0	1/2	1/2	Chord	4/2	2	2	3/4	1/2	3/2	3					
1	1	5	5	0.5	5/4	5/4	Chord	4/2	2	2	1/8	1/8	1	4					
1	1	11/2	11/2	0.5	11/8	11/8	Chord	4/2	2	2	1/8	1/8	1	5					
1	1	6	6	1.0	3/2	3/2	Chord	4/2	2	2	1/4	1/4	1	6					
1	1	7	7	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	7					
2	2	13	13	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	8					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	9					
2	2	8	8	4.0	0	0	Chord	4/2	2	1	1	1	1	10					
2	2	12	12	4.0	1	1	Chord	4/2	2	1	1	1	1	11					
2	2	8	8	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	12					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	13					
2	2	12	12	3.0	1	1	Chord	4/2	2	2	3/4	1/2	3/2	14					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	15					
3	3	16	16	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	16					
3	3	17	17	0.5	1/4	1/4	Chord	4/2	1	1	1/8	1/8	1	17					
3	3	35/2	35/2	0.5	3/8	3/8	Chord	4/2	1	1	1/8	1/8	1	18					
3	3	18	18	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	19					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	20					
3	3	20	20	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	21					
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	22					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	23					
