mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅗𝅥=90	180.0	𝅗𝅥	90.0	1.0
1	1	0	0	4.0	0	0	Chord	4/2	2	1	1	1	1	0					
1	1	4	4	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	1					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	2					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	3					
2	2	12	12	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	4					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	5					
2	2	8	8	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	6					
2	2	10	10	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	7					
2	2	11	11	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	8					
2	2	12	12	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	9					
2	2	13	13	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	10					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	11					
3	3	16	16	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	12					
3	3	18	18	1.0	1/2	1/2	Chord	4/2	1	2	1/4	1/4	1	13					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	14					
3	3	20	20	1.0	1	1	Chord	4/2	1	2	1/4	1/4	1	15					
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	16					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	17					
3	3	16	16	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	18					
3	3	18	18	4.0	1/2	1/2	Chord	4/2	2	1	1	1	1	19					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	20					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	21					
3	3	20	20	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	22					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	23					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	24					
4	4	28	28	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	25					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	26					
4	4	24	24	3.0	0	0	Chord	4/2	1	2	3/4	1/2	3/2	27					
4	4	27	27	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	28					
4	4	28	28	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	29					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	30					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	31					
4	4	24	24	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	32					
4	4	26	26	1.0	1/2	1/2	Chord	4/2	2	2	1/4	1/4	1	33					
4	4	27	27	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	34					
4	4	28	28	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	35					
4	4	29	29	1.0	5/4	5/4	Chord	4/2	2	2	1/4	1/4	1	36					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	37					
5	5	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	38					
