mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅗𝅥=90	180.0	𝅗𝅥	90.0	1.0
1	1	0	0	4.0	0	0	Chord	4/2	1	2	1	1	1	0					
1	1	4	4	4.0	1	1	Chord	4/2	1	2	1	1	1	1					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	2					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	3					
2	2	8	8	4.0	0	0	Chord	4/2	1	2	1	1	1	4					
2	2	12	12	4.0	1	1	Chord	4/2	1	2	1	1	1	5					
2	2	8	8	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	6					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	7					
2	2	12	12	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	8					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	9					
3	3	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	10					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	11					
3	3	20	20	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	12					
3	3	21	21	0.5	5/4	5/4	Chord	4/2	1	1	1/8	1/8	1	13					
3	3	43/2	43/2	0.5	11/8	11/8	Chord	4/2	1	1	1/8	1/8	1	14					
3	3	22	22	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	15					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	16					
3	3	16	16	4.0	0	0	Chord	4/2	1	2	1	1	1	17					
3	3	20	20	4.0	1	1	Chord	4/2	1	2	1	1	1	18					
3	3	16	16	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	19					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	20					
3	3	20	20	4.0	1	1	Chord	4/2	2	1	1	1	1	21					
4	4	24	24	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	22					
4	4	25	25	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	23					
4	4	26	26	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	24					
4	4	27	27	2.0	3/4	3/4	Chord	4/2	1	1	1/2	1/2	1	25					
4	4	29	29	0.5	5/4	5/4	Chord	4/2	1	1	1/8	1/8	1	26					
4	4	59/2	59/2	0.5	11/8	11/8	Chord	4/2	1	1	1/8	1/8	1	27					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	28					
4	4	24	24	4.0	0	0	Chord	4/2	1	2	1	1	1	29					
4	4	28	28	4.0	1	1	Chord	4/2	1	2	1	1	1	30					
4	4	24	24	4.0	0	0	Chord	4/2	2	1	1	1	1	31					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	32					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	33					
4	4	28	28	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	34					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	35					
5	5	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	36					
5	5	34	34	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	37					
5	5	35	35	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	38					
5	5	36	36	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	39					
5	5	36	36	4.0	1	1	Chord	4/2	1	2	1	1	1	40					
5	5	32	32	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	41					
5	5	34	34	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	42					
5	5	36	36	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	43					
5	5	38	38	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	44					
5	5	32	32	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	45					
5	5	34	34	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	46					
5	5	36	36	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	47					
5	5	38	38	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	48					
