mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0					𝅗𝅥=40	80.0	𝅗𝅥	40.0	1.0
1	1	0	0	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	0						
1	1	2	2	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	1						
1	1	3	3	2.0	3/4	3/4	Chord	4/2	1	1	1/2	1/2	1	2						
1	1	5	5	0.5	5/4	5/4	Chord	4/2	1	1	1/8	1/8	1	3						
1	1	11/2	11/2	0.5	11/8	11/8	Chord	4/2	1	1	1/8	1/8	1	4						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	5						
1	1	0	0	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	6						
1	1	2	2	1.5	1/2	1/2	Chord	4/2	1	2	3/8	1/4	3/2	7						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/2	1	2	1/8	1/8	1	8						
1	1	4	4	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	9						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	10						
1	1	0	0	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	11						
1	1	2	2	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	12						
1	1	3	3	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	13						
1	1	4	4	3.0	1	1	Chord	4/2	2	1	3/4	1/2	3/2	14						
1	1	7	7	0.5	7/4	7/4	Chord	4/2	2	1	1/8	1/8	1	15						
1	1	15/2	15/2	0.5	15/8	15/8	Chord	4/2	2	1	1/8	1/8	1	16						
1	1	0	0	6.0	0	0	Chord	4/2	2	2	3/2	1	3/2	17						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	18						
2	2	8	8	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	19						
2	2	9	9	2.0	1/4	1/4	Chord	4/2	1	1	1/2	1/2	1	20						
2	2	11	11	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	21						
2	2	13	13	1.5	5/4	5/4	Chord	4/2	1	1	3/8	1/4	3/2	22						
2	2	29/2	29/2	0.5	13/8	13/8	Chord	4/2	1	1	1/8	1/8	1	23						
2	2	15	15	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	24						
2	2	8	8	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	25						
2	2	9	9	2.0	1/4	1/4	Chord	4/2	1	2	1/2	1/2	1	26						
2	2	11	11	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	27						
2	2	12	12	4.0	1	1	Chord	4/2	1	2	1	1	1	28						
2	2	8	8	3.5	0	0	Chord	4/2	2	1	7/8	1/2	7/4	29						
