mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅗𝅥=90	180.0	𝅗𝅥	90.0	0.0
1	1	0	0	4.0	0	0	Chord	4/2	1	1	1	1	1	0					
1	1	4	4	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	1					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	2					
2	2	8	8	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	3					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	4					
2	2	12	12	4.0	1	1	Chord	4/2	1	1	1	1	1	5					
3	3	16	16	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	6					
3	3	17	17	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	7					
3	3	18	18	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	8					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	9					
3	3	20	20	1.0	1	1	Chord	4/2	1	1	1/4	1/4	1	10					
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	11					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	12					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	13					
3	3	20	20	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	14					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	15					
4	4	24	24	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	16					
4	4	26	26	4.0	1/2	1/2	Chord	4/2	1	1	1	1	1	17					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	18					
4	4	24	24	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	19					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	20					
4	4	28	28	4.0	1	1	Chord	4/2	1	2	1	1	1	21					
5	5	32	32	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	22					
5	5	33	33	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	23					
5	5	34	34	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	24					
5	5	35	35	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	25					
5	5	36	36	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	26					
5	5	38	38	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	27					
5	5	32	32	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	28					
